Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2023-05-03,2023,May,3,101.06,100.64,102.58,101.61,100.86,6644511
2023-05-04,2023,May,4,99.54,96.61,99.54,98.075,97.45,11591653
2023-05-05,2023,May,5,98.59,98.11,100.85,99.47999999999999,100.52,8118455
2023-05-08,2023,May,8,101.7,101.69,103.91,102.8,102.97,8172389
2023-05-09,2023,May,9,102.91,102.09,102.98,102.535,102.18,5119853
2023-05-10,2023,May,10,103.0,100.04,103.25,101.64500000000001,101.14,11348979
2023-05-11,2023,May,11,94.8,91.88,95.11,93.495,92.31,47154903
2023-05-12,2023,May,12,92.34,91.24,92.88,92.06,91.99,18503928
2023-05-15,2023,May,15,91.54,90.7,92.87,91.785,92.86,13342447
2023-05-16,2023,May,16,92.04,90.78,92.42,91.6,90.98,13482607
2023-05-17,2023,May,17,91.02,90.85,93.05,91.94999999999999,92.77,10063765
2023-05-18,2023,May,18,92.85,92.46,94.24,93.35,93.76,11520730
2023-05-19,2023,May,19,93.0,91.32,93.0,92.16,91.35,15252180
2023-05-22,2023,May,22,91.33,89.89,91.94,90.91499999999999,91.82,11727072
2023-05-23,2023,May,23,91.1,89.81,92.03,90.92,89.82,11081060
2023-05-24,2023,May,24,89.44,88.41,89.49,88.94999999999999,89.07,11233951
2023-05-25,2023,May,25,89.56,87.79,89.56,88.67500000000001,88.14,10473450
2023-05-26,2023,May,26,88.49,88.1,89.24,88.66999999999999,88.29,10479009
2023-05-30,2023,May,30,88.97,87.01,88.97,87.99000000000001,87.82,11863623
2023-05-31,2023,May,31,87.58,87.15,88.17,87.66,87.96,10289201
2023-06-01,2023,June,1,88.4,87.11,89.06,88.08500000000001,88.59,10372539
2023-06-02,2023,June,2,89.63,89.6,91.34,90.47,90.77,11118946
2023-06-05,2023,June,5,91.2,89.44,91.76,90.6,91.0,16100141
2023-06-06,2023,June,6,91.1,91.02,92.51,91.765,92.16,10557448
2023-06-07,2023,June,7,92.78,91.86,93.08,92.47,92.52,9825203
2023-06-08,2023,June,8,92.52,91.3,92.68,91.99000000000001,92.53,7519168
2023-06-09,2023,June,9,92.78,91.55,92.92,92.235,91.93,8957718
2023-06-12,2023,June,12,92.25,91.77,93.23,92.5,93.14,9858450
2023-06-13,2023,June,13,94.12,93.44,94.44,93.94,93.85,10254003
2023-06-14,2023,June,14,94.26,91.92,94.52,93.22,92.45,13220383
2023-06-15,2023,June,15,92.06,91.61,93.52,92.565,92.94,10396812
2023-06-16,2023,June,16,92.88,90.86,92.97,91.91499999999999,91.32,18427484
2023-06-20,2023,June,20,90.29,89.74,90.78,90.25999999999999,89.75,11757622
2023-06-21,2023,June,21,89.55,88.11,89.67,88.89,88.64,14190904
2023-06-22,2023,June,22,88.44,88.12,89.19,88.655,88.49,8317156
2023-06-23,2023,June,23,88.02,87.61,88.4,88.005,88.1,12962975
2023-06-26,2023,June,26,88.04,87.77,89.49,88.63,88.7,9378640
2023-06-27,2023,June,27,88.9,88.49,89.66,89.07499999999999,89.06,7633475
2023-06-28,2023,June,28,89.39,88.53,89.4,88.965,88.83,10601008
2023-06-29,2023,June,29,87.8,87.34,89.12,88.23,88.95,10667221
2023-06-30,2023,June,30,89.18,88.61,89.6,89.10499999999999,89.28,9833670
2023-07-03,2023,July,3,89.12,88.91,90.95,89.93,90.5,6805507
2023-07-05,2023,July,5,90.11,89.25,90.39,89.82,89.79,8752397
2023-07-06,2023,July,6,88.67,87.78,88.83,88.305,88.74,9594749
2023-07-07,2023,July,7,88.31,88.08,89.73,88.905,88.64,7637701
2023-07-10,2023,July,10,88.25,87.86,88.68,88.27000000000001,88.1,12904051
2023-07-11,2023,July,11,88.2,88.15,89.59,88.87,89.49,10838068
2023-07-12,2023,July,12,90.11,89.57,90.71,90.13999999999999,90.15,11077936
2023-07-13,2023,July,13,90.55,89.08,90.81,89.945,90.47,12013248
2023-07-14,2023,July,14,90.41,88.42,90.49,89.455,88.62,15672758
2023-07-17,2023,July,17,88.42,85.3,88.49,86.895,85.56,27549257
2023-07-18,2023,July,18,85.51,85.31,87.3,86.305,85.95,17708059
2023-07-19,2023,July,19,86.2,86.19,87.89,87.03999999999999,87.04,13755227
2023-07-20,2023,July,20,86.84,86.03,87.18,86.605,86.21,12484684
2023-07-21,2023,July,21,86.3,85.88,87.9,86.89,87.18,16387142
2023-07-24,2023,July,24,87.49,86.55,87.96,87.255,86.6,12149220
2023-07-25,2023,July,25,85.73,85.16,86.31,85.735,85.63,11951438
2023-07-26,2023,July,26,85.67,85.45,86.27,85.86,85.86,10226554
2023-07-27,2023,July,27,86.6,85.19,86.88,86.035,85.36,12095982
2023-07-28,2023,July,28,85.86,85.45,86.58,86.015,86.13,11011119
2023-07-31,2023,July,31,87.0,86.88,89.36,88.12,88.89,16205438
2023-08-01,2023,August,1,89.12,88.46,89.73,89.095,89.03,11957938
2023-08-02,2023,August,2,88.26,86.26,88.33,87.295,86.3,12112424
2023-08-03,2023,August,3,85.82,85.45,86.46,85.955,85.49,10634844
2023-08-04,2023,August,4,85.94,85.45,87.11,86.28,86.3,9024177
2023-08-07,2023,August,7,86.66,85.99,87.23,86.61,86.83,8488688
2023-08-08,2023,August,8,86.5,86.1,88.33,87.215,88.13,12157336
2023-08-09,2023,August,9,89.2,87.04,89.56,88.30000000000001,87.49,16706147
2023-08-10,2023,August,10,89.97,87.75,92.53,90.14,91.76,45717211
